index,exclude_genes,E_pop,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
TOP1,True,4.463183201614899,False,0.5440991260688344,0.9179942780653776,-0.080858685,0,False
MPST,True,5.12739013704152,False,0.42488228656446647,1.4307142524141871,0.90773225,0,False
DPM2,True,5.568234068380035,False,0.6767653001271048,1.2055573885167625,0.5174835,0,False
DPY30,True,6.30788292441651,False,0.7783176887528582,1.3401722111687049,0.8104296,0,False
TUBD1,True,4.349350895789864,False,0.475739077806726,0.8331609295917279,-0.21357054,0,False
GNL3,True,6.27442342774761,False,0.7899748823702946,1.205415421065623,0.553757,0,False
ATF6B,True,6.159325639292972,False,0.8835061640202384,1.0491276708866613,0.2514837,0,False
BTG2,True,7.536527897830213,False,1.029964009304416,1.4430311738327921,1.0421526,0,False
NDUFS6,True,6.937631790569006,False,0.9426153263516511,1.2492893983060855,0.6601949,0,False
ERAL1,True,5.47193521458899,False,0.5101682412451443,1.3430306748988063,0.7749094,0,False
ECHS1,True,6.827967896893343,False,0.9172134242749279,1.3201076050034721,0.79771715,0,False
VPS4A,True,5.939982951385074,False,0.6986030225839461,1.3007308558948498,0.73054785,0,False
NCF4,True,5.45247346471483,False,0.48192088688788803,1.5262835431936652,1.1614114,0,False
NAGPA,True,4.565744286263946,False,0.3163358721415539,1.404032340197746,0.8807786,0,False
RAB1B,True,6.9055033721115135,False,1.091746712944444,0.9888691920646274,0.17995255,0,False
CHORDC1,True,4.482364719248075,False,0.4314544061839485,1.1220817889812644,0.33164063,0,False
TRIB3,True,4.562863281655928,False,0.2658595825066886,1.4873607587359352,1.0215908,0,False
C2orf49,True,4.057463778892127,False,0.27947162730211206,1.3708852713719522,0.8002043,0,False
DDX5,False,9.684476092491446,False,1.8852380422408914,0.17961820989492222,-1.2367089,0,False
ANAPC4,True,4.5690158394198,False,0.3989344124020088,1.2642433802464808,0.62284464,0,False
ZSWIM1,True,4.742225820468729,False,0.7995733114540464,-0.009775602073643693,-1.6885859,0,False
TMX4,True,5.988095437716991,False,0.6267770112728959,1.2862148592854827,0.69421005,0,False
MREG,True,4.505678102126164,False,0.8002901061471879,-0.1803604735323046,-2.0077257,0,False
PDLIM2,True,5.747977658556434,False,0.6318266942018756,1.2721464365328319,0.66738874,0,False
SRPK1,True,4.589744641706496,False,0.4813382530876915,1.1040048342025908,0.31616822,0,False
PTCD3,True,4.68996878083489,False,0.5873982907543907,0.9036869846968685,-0.06803044,0,False
NMNAT1,True,5.427354273606771,False,1.0640771201533117,-0.3467959627105046,-2.3549595,0,False
DIP2A,True,5.128187478091026,False,0.6536851255429139,0.908940009835788,-0.007080475,0,False
PTPN22,True,5.400001051677497,False,0.53506954541182,1.3299739264339763,0.79202384,0,False
RABGGTA,True,5.178617068845803,False,0.45382751626816087,1.3975462384351407,0.899515,0,False
KIAA1033,True,4.587421368796904,False,0.45118792922187323,1.0610290587217721,0.24651326,0,False
STX8,True,5.717351359937506,False,0.6174083974388975,1.3900413180012525,0.8828858,0,False
WDR89,True,4.3561986153755665,False,0.3613266152950118,1.252578420125513,0.5874985,0,False
EIF4G3,True,4.001224315395353,False,0.4004972883645901,0.9725935610704104,0.032653566,0,False
A2M,True,7.8408836018995585,False,0.7524603820629536,1.4332692341914632,0.9738895,0,False
GRPEL1,True,5.796866023372023,False,0.6305767999560232,1.378238611915044,0.8428464,0,False
CCDC66,True,4.095989353229619,False,0.3391749274973457,1.2110171858763787,0.48770538,0,False
EED,True,5.153284929869544,False,0.46921256660116806,1.3764811533220875,0.8394454,0,False
RAPGEF6,True,5.316544853152859,False,0.6375343202105125,1.0900716538728625,0.3620613,0,False
KIAA0020,True,5.121610789791234,False,0.5657700021549841,1.1303459295719778,0.36213613,0,False
C16orf45,True,4.218775883757834,False,0.28594023030857774,1.3163840875154498,0.67944306,0,False
RBM10,True,5.266370448800587,False,0.5787480759355017,1.1532431478129752,0.4218088,0,False
C19orf10,True,7.270421129356503,False,1.0163473259068954,1.2344667378872418,0.6576499,0,False
MFF,True,6.1038196137086755,False,0.8273883735035481,1.146249358793301,0.4397849,0,False
NOA1,True,5.545573864240272,False,0.5142111921862622,1.3775128653801687,0.86072844,0,False
EXOC3,True,4.399982695783514,False,0.3647979552956465,1.259079193819236,0.5973372,0,False
TNFRSF9,True,5.49076550595139,False,0.7249283405923617,0.6222936728578423,-0.50914615,0,False
TIAL1,True,4.070507169228784,False,0.4532317619516633,1.0020703677291949,0.124608554,0,False
HIST1H1E,True,5.1930955831188275,False,0.46062426998613826,1.3710307075361843,0.8396999,0,False
APOE,True,7.306784120906005,False,0.6491739456133875,1.5617249986982493,1.2079524,0,False
ST8SIA4,True,5.1451646622151355,False,0.69259355201323,0.8323157301961652,-0.14457832,0,False
CCAR1,True,5.644988657356266,False,0.7324856636743776,1.1125683120343903,0.38028044,0,False
KLHL36,True,4.110646292278316,False,0.24661871405948255,1.4877844605848853,1.0071788,0,False
OPHN1,True,6.258201177874483,False,1.2524256641998561,-0.12434168227854092,-2.4295259,0,False
DESI1,True,5.119227065530003,False,0.9154979551589286,-0.05097585673286205,-1.8090162,0,False
