"cells","samples","cell.types","treatment.group","Cohort","no.of.genes","no.of.reads"
"Cy71_CD45_B10_S502_comb","Mel71","Mal","treatment.naive","Tirosh",4776,77247
"CY88_3_H03_S663_comb","Mel88","Mal","post.treatment","Tirosh",4067,120350
"CY89NEG_H10_S94_comb","Mel89","Mal","treatment.naive","Tirosh",6114,464414
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H10_S190_comb","Mel79","Mal","treatment.naive","Tirosh",5541,53884
"Cy81_Bulk_CD45_D12_S144_comb","Mel81","Mal","treatment.naive","Tirosh",8006,593692
"cy78_CD45_neg_3_C03_S699_comb","Mel78","Mal","post.treatment","Tirosh",5812,190804
"cy78_CD45_neg_3_H08_S764_comb","Mel78","Mal","post.treatment","Tirosh",8154,418490
"cy53_1_CD45_neg_A07_S295_comb","Mel53","Mal","treatment.naive","Tirosh",3386,687774
"cy79_p4_CD45_neg_PDL1_pos_B04_S400_comb","Mel79","Mal","treatment.naive","Tirosh",4262,137641
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G10_S178_comb","Mel79","Mal","treatment.naive","Tirosh",5023,50947
"CY89NEG_C08_S32_comb","Mel89","Mal","treatment.naive","Tirosh",4490,180384
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A02_S290_comb","Mel79","Mal","treatment.naive","Tirosh",3767,77267
"Cy71_CD45_F05_S545_comb","Mel71","Mal","treatment.naive","Tirosh",3981,14557
"cy81_Bulk_CD45_neg_D05_S137_comb","Mel81","Mal","treatment.naive","Tirosh",8598,257559
"cy82_CD45_pos_3_G06_S78_comb","Mel82","?","treatment.naive","Tirosh",9706,221421
"CY88_5_G12_S756_comb","Mel88","Mal","post.treatment","Tirosh",5949,204778
"CY88_5_C07_S703_comb","Mel88","Mal","post.treatment","Tirosh",6218,245609
"cy80_CD45_neg_C01_S889_comb","Mel80","Mal","treatment.naive","Tirosh",8123,186576
"cy81_Bulk_CD45_neg_E10_S154_comb","Mel81","Mal","treatment.naive","Tirosh",7291,161330
"cy81_Bulk_CD45_neg_H11_S191_comb","Mel81","Mal","treatment.naive","Tirosh",7267,102047
"cy79_p5_CD45_neg_PDL1_pos_H12_S768_comb","Mel79","Mal","treatment.naive","Tirosh",3955,11086
"CY89CORE11_G10_S178_comb","Mel89","Mal","treatment.naive","Tirosh",6721,553705
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G03_S171_comb","Mel79","Mal","treatment.naive","Tirosh",4670,58457
"CY89FNAQ2_G02_S458_comb","Mel89","Mal","treatment.naive","Tirosh",5695,397663
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E03_S51_comb","Mel79","Mal","treatment.naive","Tirosh",5019,74499
"Cy81_Bulk_CD45_G03_S171_comb","Mel81","CAF","treatment.naive","Tirosh",8194,687646
"CY88_5_H01_S757_comb","Mel88","Mal","post.treatment","Tirosh",6729,339910
"cy79_p4_CD45_neg_PDL1_neg_A04_S1060_comb","Mel79","Mal","treatment.naive","Tirosh",4916,123090
"cy60_1_cd_45_neg_3_H06_S570_comb","Mel60","Mal","post.treatment","Tirosh",6491,355642
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G04_S76_comb","Mel79","Mal","treatment.naive","Tirosh",4862,47291
"cy78_CD45_neg_3_B04_S688_comb","Mel78","Mal","post.treatment","Tirosh",4844,62902
"cy84_Primary_CD45_neg_A07_S967_comb","Mel84","Mal","treatment.naive","Tirosh",6283,247882
"cy79_p4_CD45_neg_PDL1_neg_C05_S1085_comb","Mel79","Mal","treatment.naive","Tirosh",3690,76793
"cy81_Bulk_CD45_neg_D10_S142_comb","Mel81","Mal","treatment.naive","Tirosh",5152,33115
"cy53_1_CD45_neg_D05_S329_comb","Mel53","Mal","treatment.naive","Tirosh",3948,26453
"cy79_p4_CD45_neg_PDL1_neg_B05_S1073_comb","Mel79","Mal","treatment.naive","Tirosh",3716,119831
"cy79_p5_CD45_neg_PDL1_pos_D02_S710_comb","Mel79","Mal","treatment.naive","Tirosh",4971,121984
"cy79_p3_CD45_neg_PDL1_neg_G01_S265_comb","Mel79","Mal","treatment.naive","Tirosh",5876,341719
"Cy81_Bulk_CD45_D11_S143_comb","Mel81","Mal","treatment.naive","Tirosh",7754,414624
"CY89FNAQ2_H05_S473_comb","Mel89","Mal","treatment.naive","Tirosh",5298,59842
"cy79_p4_CD45_neg_PDL1_neg_G09_S1137_comb","Mel79","Mal","treatment.naive","Tirosh",5057,153816
"CY88_5_E08_S728_comb","Mel88","Mal","post.treatment","Tirosh",4734,101624
"cy84_Primary_CD45_neg_F05_S1025_comb","Mel84","Mal","treatment.naive","Tirosh",2634,62236
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B01_S13_comb","Mel79","Mal","treatment.naive","Tirosh",5735,139600
"cy78_CD45_neg_3_A08_S680_comb","Mel78","Mal","post.treatment","Tirosh",7967,341853
"cy81_Bulk_CD45_neg_F02_S158_comb","Mel81","Mal","treatment.naive","Tirosh",5929,206026
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D09_S333_comb","Mel79","Mal","treatment.naive","Tirosh",5053,150151
"cy78_CD45_neg_3_F08_S740_comb","Mel78","Mal","post.treatment","Tirosh",7102,312239
"cy79_p5_CD45_neg_PDL1_neg_C12_S804_comb","Mel79","Mal","treatment.naive","Tirosh",4368,61791
"Cy80_II_CD45_G03_S939_comb","Mel80","Mal","treatment.naive","Tirosh",3282,11918
"CY88_5_C04_S700_comb","Mel88","Mal","post.treatment","Tirosh",7570,568113
"cy79_p4_CD45_neg_PDL1_neg_G05_S1133_comb","Mel79","Mal","treatment.naive","Tirosh",5322,156213
"cy84_Primary_CD45_neg_H12_S1056_comb","Mel84","Mal","treatment.naive","Tirosh",4996,18344
"cy79_p4_CD45_neg_PDL1_neg_E03_S1107_comb","Mel79","Mal","treatment.naive","Tirosh",3165,25159
"cy78_CD45_neg_3_G06_S750_comb","Mel78","Mal","post.treatment","Tirosh",7487,338194
"cy81_FNA_CD45_neg_G07_S1039_comb","Mel81","Mal","treatment.naive","Tirosh",7331,276801
"cy80_CD45_neg_A12_S876_comb","Mel80","Mal","treatment.naive","Tirosh",6364,51334
"cy78_CD45_neg_3_E10_S730_comb","Mel78","Mal","post.treatment","Tirosh",5850,213528
"cy81_FNA_CD45_neg_G05_S1037_comb","Mel81","Mal","treatment.naive","Tirosh",6880,172242
"cy79_p5_CD45_neg_PDL1_neg_G02_S842_comb","Mel79","Mal","treatment.naive","Tirosh",5956,168600
"cy79_p3_CD45_neg_PDL1_neg_C04_S220_comb","Mel79","Mal","treatment.naive","Tirosh",3143,29978
"cy53_1_CD45_neg_H11_S383_comb","Mel53","Mal","treatment.naive","Tirosh",5728,109633
"cy81_Bulk_CD45_neg_H03_S183_comb","Mel81","Mal","treatment.naive","Tirosh",7048,307844
"cy79_p5_CD45_neg_PDL1_neg_A10_S778_comb","Mel79","Mal","treatment.naive","Tirosh",3780,51315
"cy79_p3_CD45_neg_PDL1_neg_F11_S263_comb","Mel79","Mal","treatment.naive","Tirosh",5435,179290
"cy79_p4_CD45_neg_PDL1_pos_E06_S438_comb","Mel79","Mal","treatment.naive","Tirosh",5636,155005
"cy79_p5_CD45_neg_PDL1_neg_H12_S864_comb","Mel79","Mal","treatment.naive","Tirosh",6662,45668
"Cy71_CD45_C03_S507_comb","Mel71","Mal","treatment.naive","Tirosh",5304,263304
"cy60_1_cd_45_neg_3_G10_S562_comb","Mel60","Mal","post.treatment","Tirosh",6968,617321
"cy79_p4_CD45_neg_PDL1_pos_F05_S449_comb","Mel79","Mal","treatment.naive","Tirosh",5036,179681
"Cy71_CD45_H08_S572_comb","Mel71","Mal","treatment.naive","Tirosh",4654,98402
"cy78_CD45_neg_1_G01_S553_comb","Mel78","Mal","post.treatment","Tirosh",8536,572107
"cy79_p5_CD45_neg_PDL1_pos_H02_S758_comb","Mel79","Mal","treatment.naive","Tirosh",3688,54333
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B05_S17_comb","Mel79","Mal","treatment.naive","Tirosh",6398,134123
"cy79_p5_CD45_neg_PDL1_pos_G10_S754_comb","Mel79","Mal","treatment.naive","Tirosh",4904,177095
"CY89NEG_G05_S77_comb","Mel89","Mal","treatment.naive","Tirosh",4685,124127
"Cy81_FNA_CD45_B12_S312_comb","Mel81","Mal","treatment.naive","Tirosh",5142,129531
"Cy81_FNA_CD45_H04_S376_comb","Mel81","Mal","treatment.naive","Tirosh",5604,337519
"CY89CORE11_G11_S179_comb","Mel89","Mal","treatment.naive","Tirosh",6283,413406
"CY88CD45_150813_B05_S305_comb_3","Mel88","T.CD8","post.treatment","Tirosh",7434,1019709
"CY89CORE11_B07_S115_comb","Mel89","Mal","treatment.naive","Tirosh",6113,225952
"cy60_1_cd_45_neg_1_D07_S235_comb","Mel60","Mal","post.treatment","Tirosh",6688,121969
"cy79_p3_CD45_neg_PDL1_neg_D01_S229_comb","Mel79","Mal","treatment.naive","Tirosh",3074,34189
"cy78_CD45_neg_3_B11_S695_comb","Mel78","Mal","post.treatment","Tirosh",7480,498397
"Cy81_Bulk_CD45_D04_S136_comb","Mel81","Mal","treatment.naive","Tirosh",4512,281224
"Cy81_FNA_CD45_H08_S380_comb","Mel81","Mal","treatment.naive","Tirosh",5073,404333
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D12_S48_comb","Mel79","Mal","treatment.naive","Tirosh",4970,85875
"Cy71_CD45_B11_S503_comb","Mel71","Mal","treatment.naive","Tirosh",5106,141622
"CY89CORE11_D03_S135_comb","Mel89","Mal","treatment.naive","Tirosh",5615,224460
"Cy71_CD45_H02_S566_comb","Mel71","Mal","treatment.naive","Tirosh",4475,197891
"cy79_p3_CD45_neg_PDL1_neg_E02_S242_comb","Mel79","Mal","treatment.naive","Tirosh",5485,280917
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D08_S44_comb","Mel79","Mal","treatment.naive","Tirosh",5312,68057
"CY89CORE11_D04_S136_comb","Mel89","Mal","treatment.naive","Tirosh",7623,603563
"CY88_5_C10_S706_comb","Mel88","Mal","post.treatment","Tirosh",5607,381584
"cy79_p4_CD45_neg_PDL1_pos_E09_S441_comb","Mel79","Mal","treatment.naive","Tirosh",5328,195632
"cy79_p4_CD45_neg_PDL1_pos_D06_S426_comb","Mel79","Mal","treatment.naive","Tirosh",4871,138063
"cy79_p4_CD45_neg_PDL1_pos_C07_S415_comb","Mel79","Mal","treatment.naive","Tirosh",4329,199818
"cy79_p5_CD45_neg_PDL1_neg_E03_S819_comb","Mel79","Mal","treatment.naive","Tirosh",5053,105338
"cy79_p5_CD45_neg_PDL1_pos_F06_S738_comb","Mel79","Mal","treatment.naive","Tirosh",5593,117167
"cy79_p3_CD45_neg_PDL1_neg_D11_S239_comb","Mel79","Mal","treatment.naive","Tirosh",5417,535545
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B02_S110_comb","Mel79","Mal","treatment.naive","Tirosh",6160,103902
"Cy80_II_CD45_C01_S889_comb","Mel80","Mal","treatment.naive","Tirosh",3687,398589
"cy78_CD45_neg_1_F07_S547_comb","Mel78","Mal","post.treatment","Tirosh",6346,92263
"cy79_p4_CD45_neg_PDL1_pos_C09_S417_comb","Mel79","Mal","treatment.naive","Tirosh",4413,195356
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F10_S358_comb","Mel79","Mal","treatment.naive","Tirosh",5237,156641
"cy79_p5_CD45_neg_PDL1_neg_H05_S857_comb","Mel79","Mal","treatment.naive","Tirosh",3712,41884
"CY88_5_B05_S689_comb","Mel88","Mal","post.treatment","Tirosh",3765,34940
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H02_S182_comb","Mel79","Mal","treatment.naive","Tirosh",4209,60903
"CY89FNAQ2_F08_S452_comb","Mel89","Mal","treatment.naive","Tirosh",6514,468396
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A06_S294_comb","Mel79","Mal","treatment.naive","Tirosh",5532,98599
"Cy71_CD45_G03_S555_comb","Mel71","Mal","treatment.naive","Tirosh",5088,101080
"cy79_p4_CD45_neg_PDL1_pos_E11_S443_comb","Mel79","Mal","treatment.naive","Tirosh",4872,153456
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A12_S300_comb","Mel79","Mal","treatment.naive","Tirosh",6056,49714
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F09_S69_comb","Mel79","Mal","treatment.naive","Tirosh",5373,61351
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G04_S364_comb","Mel79","Mal","treatment.naive","Tirosh",4453,35476
"cy79_p5_CD45_neg_PDL1_neg_A03_S771_comb","Mel79","Mal","treatment.naive","Tirosh",4609,102541
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G05_S365_comb","Mel79","Mal","treatment.naive","Tirosh",3729,22994
"cy79_p3_CD45_neg_PDL1_neg_F05_S257_comb","Mel79","Mal","treatment.naive","Tirosh",3346,35728
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B09_S309_comb","Mel79","Mal","treatment.naive","Tirosh",4990,57957
"Cy80_II_CD45_E12_S924_comb","Mel80","Mal","treatment.naive","Tirosh",7471,155728
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G06_S174_comb","Mel79","Mal","treatment.naive","Tirosh",4781,43875
"cy80_CD45_neg_G06_S942_comb","Mel80","Mal","treatment.naive","Tirosh",8809,170284
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F09_S165_comb","Mel79","Mal","treatment.naive","Tirosh",5459,55044
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A05_S101_comb","Mel79","Mal","treatment.naive","Tirosh",6257,104481
"cy79_p5_CD45_neg_PDL1_neg_E06_S822_comb","Mel79","Mal","treatment.naive","Tirosh",4777,137658
"Cy80_II_CD45_B08_S884_comb","Mel80","Mal","treatment.naive","Tirosh",7341,143079
"cy79_p5_CD45_neg_PDL1_pos_E02_S722_comb","Mel79","Mal","treatment.naive","Tirosh",4637,118123
"Cy80_II_CD45_E06_S918_comb","Mel80","Mal","treatment.naive","Tirosh",6223,238935
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C06_S318_comb","Mel79","Mal","treatment.naive","Tirosh",5554,122611
"CY88_3_E06_S630_comb","Mel88","Mal","post.treatment","Tirosh",6471,338552
"Cy71_CD45_E08_S536_comb","Mel71","Mal","treatment.naive","Tirosh",5011,229152
"cy82_CD45_pos_3_E02_S50_comb","Mel82","?","treatment.naive","Tirosh",4370,130858
"cy78_CD45_neg_1_C03_S507_comb","Mel78","Mal","post.treatment","Tirosh",6334,155451
"cy80_CD45_neg_G09_S945_comb","Mel80","Mal","treatment.naive","Tirosh",7731,148913
"CY89NEG_E04_S52_comb","Mel89","Mal","treatment.naive","Tirosh",6531,344574
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C11_S35_comb","Mel79","Mal","treatment.naive","Tirosh",5024,79858
"cy79_p4_CD45_neg_PDL1_neg_F11_S1127_comb","Mel79","Mal","treatment.naive","Tirosh",5614,284039
"CY88CD45POS_2_B11_S407_comb","Mel88","?","post.treatment","Tirosh",8177,1089907
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B07_S307_comb","Mel79","Mal","treatment.naive","Tirosh",3546,17463
"cy79_p3_CD45_neg_PDL1_neg_D12_S240_comb","Mel79","Mal","treatment.naive","Tirosh",4080,231537
"Cy71_CD45_B06_S498_comb","Mel71","Mal","treatment.naive","Tirosh",4184,120674
"CY88_3_A01_S577_comb","Mel88","Mal","post.treatment","Tirosh",4955,282507
"cy79_p5_CD45_neg_PDL1_neg_D07_S811_comb","Mel79","Mal","treatment.naive","Tirosh",4466,59852
"cy82_CD45_pos_3_G12_S84_comb","Mel82","?","treatment.naive","Tirosh",9481,107464
"cy79_p5_CD45_neg_PDL1_pos_D03_S711_comb","Mel79","Mal","treatment.naive","Tirosh",5146,139339
"cy79_p5_CD45_neg_PDL1_neg_B11_S791_comb","Mel79","Mal","treatment.naive","Tirosh",4342,64704
"cy79_p5_CD45_neg_PDL1_pos_E07_S727_comb","Mel79","Mal","treatment.naive","Tirosh",5979,126667
"cy78_CD45_neg_1_D06_S522_comb","Mel78","Mal","post.treatment","Tirosh",7135,148646
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D12_S336_comb","Mel79","Mal","treatment.naive","Tirosh",3643,38430
"cy82_CD45_pos_1_G08_S560_comb","Mel82","?","treatment.naive","Tirosh",3514,377544
"cy79_p3_CD45_neg_PDL1_neg_B01_S205_comb","Mel79","Mal","treatment.naive","Tirosh",2895,17985
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C10_S130_comb","Mel79","Mal","treatment.naive","Tirosh",5642,54289
"CY84_PRIM_POS_ALL_6_E04_S436_comb","Mel84","Mal","treatment.naive","Tirosh",4004,11700
"cy81_FNA_CD45_neg_B07_S979_comb","Mel81","Mal","treatment.naive","Tirosh",9886,248379
"cy78_CD45_neg_3_F11_S743_comb","Mel78","Mal","post.treatment","Tirosh",7691,511664
"CY89NEG_D08_S44_comb","Mel89","Mal","treatment.naive","Tirosh",5573,483216
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F08_S68_comb","Mel79","Mal","treatment.naive","Tirosh",5200,77232
"cy79_p5_CD45_neg_PDL1_pos_C12_S708_comb","Mel79","Mal","treatment.naive","Tirosh",3853,106568
"cy81_Bulk_CD45_neg_H08_S188_comb","Mel81","CAF","treatment.naive","Tirosh",4730,259114
"CY88_5_H11_S767_comb","Mel88","Mal","post.treatment","Tirosh",6216,309161
"cy79_p4_CD45_neg_PDL1_neg_B01_S1069_comb","Mel79","Mal","treatment.naive","Tirosh",4551,208682
"CY89FNAQ2_C08_S416_comb","Mel89","Mal","treatment.naive","Tirosh",7507,413428
"CY89CORE11_E08_S152_comb","Mel89","Mal","treatment.naive","Tirosh",6712,281440
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D06_S42_comb","Mel79","Mal","treatment.naive","Tirosh",4825,75586
"CY89NEG_F12_S72_comb","Mel89","Mal","treatment.naive","Tirosh",7486,470525
"CY89NEG_A08_S8_comb","Mel89","Mal","treatment.naive","Tirosh",5557,278586
"cy79_p5_CD45_neg_PDL1_pos_H07_S763_comb","Mel79","Mal","treatment.naive","Tirosh",4897,56728
"cy78_CD45_neg_3_A07_S679_comb","Mel78","Mal","post.treatment","Tirosh",8312,480499
"Cy80_II_CD45_A02_S866_comb","Mel80","Mal","treatment.naive","Tirosh",7307,193046
"cy80_CD45_neg_F11_S935_comb","Mel80","Mal","treatment.naive","Tirosh",7525,154675
"Cy80_II_CD45_D07_S907_comb","Mel80","Mal","treatment.naive","Tirosh",2019,86709
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E07_S55_comb","Mel79","Mal","treatment.naive","Tirosh",5821,90563
"cy79_p4_CD45_neg_PDL1_pos_B02_S398_comb","Mel79","Endo.","treatment.naive","Tirosh",4559,191793
"CY89CORE11_G05_S173_comb","Mel89","Mal","treatment.naive","Tirosh",6236,320915
"cy79_p4_CD45_neg_PDL1_pos_E03_S435_comb","Mel79","Mal","treatment.naive","Tirosh",5463,130102
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G11_S179_comb","Mel79","Mal","treatment.naive","Tirosh",5299,51580
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E07_S343_comb","Mel79","Mal","treatment.naive","Tirosh",6196,159587
"cy79_p3_CD45_neg_PDL1_neg_C12_S228_comb","Mel79","Mal","treatment.naive","Tirosh",4870,101679
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F02_S158_comb","Mel79","Mal","treatment.naive","Tirosh",5109,61747
"CY89NEG_G07_S79_comb","Mel89","Mal","treatment.naive","Tirosh",6199,214720
"cy78_CD45_neg_1_H10_S574_comb","Mel78","Mal","post.treatment","Tirosh",7875,292199
"CY89CORE11_F06_S162_comb","Mel89","Mal","treatment.naive","Tirosh",5956,284694
"CY88_5_E10_S730_comb","Mel88","Mal","post.treatment","Tirosh",4892,208066
"cy78_CD45_neg_1_G02_S554_comb","Mel78","Mal","post.treatment","Tirosh",6792,254083
"CY89NEG_F06_S66_comb","Mel89","Mal","treatment.naive","Tirosh",6364,246597
"cy81_Bulk_CD45_neg_C01_S121_comb","Mel81","Mal","treatment.naive","Tirosh",8539,195090
"Cy81_FNA_CD45_F10_S358_comb","Mel81","Mal","treatment.naive","Tirosh",7406,244705
"cy80_CD45_neg_E09_S921_comb","Mel80","Mal","treatment.naive","Tirosh",5422,23325
"cy79_p3_CD45_neg_PDL1_neg_G05_S269_comb","Mel79","Mal","treatment.naive","Tirosh",5356,58675
"CY88_5_G11_S755_comb","Mel88","Mal","post.treatment","Tirosh",3901,95705
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E05_S341_comb","Mel79","Mal","treatment.naive","Tirosh",5890,110334
"CY89NEG_E10_S58_comb","Mel89","Mal","treatment.naive","Tirosh",6269,637218
"cy82_CD45_pos_3_A10_S10_comb","Mel82","?","treatment.naive","Tirosh",10756,940036
"CY89NEG_H12_S96_comb","Mel89","Mal","treatment.naive","Tirosh",7470,446199
"cy80_CD45_neg_G08_S944_comb","Mel80","Mal","treatment.naive","Tirosh",7886,106982
"Cy80_II_CD45_F10_S934_comb","Mel80","Mal","treatment.naive","Tirosh",6146,176120
"cy82_CD45_pos_2_E03_S531_comb","Mel82","?","treatment.naive","Tirosh",3705,53615
"cy79_p3_CD45_neg_PDL1_neg_G10_S274_comb","Mel79","Mal","treatment.naive","Tirosh",5422,670700
"cy79_p3_CD45_neg_PDL1_neg_D02_S230_comb","Mel79","Mal","treatment.naive","Tirosh",6397,338905
"CY88_5_D01_S709_comb","Mel88","Mal","post.treatment","Tirosh",6936,925500
"cy79_p4_CD45_neg_PDL1_neg_E05_S1109_comb","Mel79","Mal","treatment.naive","Tirosh",3902,28093
"Cy81_Bulk_CD45_G02_S170_comb","Mel81","CAF","treatment.naive","Tirosh",5809,247368
"Cy80_II_CD45_D12_S912_comb","Mel80","Mal","treatment.naive","Tirosh",3520,82970
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F10_S166_comb","Mel79","Mal","treatment.naive","Tirosh",4921,39481
"cy79_p3_CD45_neg_PDL1_neg_B12_S216_comb","Mel79","Mal","treatment.naive","Tirosh",3877,29667
"cy81_Bulk_CD45_neg_A02_S98_comb","Mel81","Mal","treatment.naive","Tirosh",4517,146392
"Cy71_CD45_A03_S483_comb","Mel71","Mal","treatment.naive","Tirosh",5861,151804
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C01_S25_comb","Mel79","Mal","treatment.naive","Tirosh",5703,93394
"cy60_1_cd_45_neg_1_B11_S215_comb","Mel60","Mal","post.treatment","Tirosh",6551,198331
"CY89CORE11_C02_S122_comb","Mel89","Mal","treatment.naive","Tirosh",3956,31147
"cy81_Bulk_CD45_neg_E12_S156_comb","Mel81","CAF","treatment.naive","Tirosh",2865,10389
"Cy81_FNA_CD45_C02_S314_comb","Mel81","Mal","treatment.naive","Tirosh",5876,254262
"cy79_p3_CD45_neg_PDL1_neg_A09_S201_comb","Mel79","Mal","treatment.naive","Tirosh",2347,333786
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H11_S383_comb","Mel79","Mal","treatment.naive","Tirosh",4348,86530
"CY88_3_G04_S652_comb","Mel88","Mal","post.treatment","Tirosh",7379,487052
"CY89NEG_C04_S28_comb","Mel89","Mal","treatment.naive","Tirosh",6576,415005
"Cy81_Bulk_CD45_E01_S145_comb","Mel81","Mal","treatment.naive","Tirosh",6558,475934
"CY89CORE11_A10_S106_comb","Mel89","Mal","treatment.naive","Tirosh",5575,300755
"CY88_5_H07_S763_comb","Mel88","Mal","post.treatment","Tirosh",6785,193536
"cy79_p4_CD45_neg_PDL1_pos_A09_S393_comb","Mel79","Mal","treatment.naive","Tirosh",4298,245644
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B11_S23_comb","Mel79","Mal","treatment.naive","Tirosh",4743,53224
"CY88_3_F04_S640_comb","Mel88","Mal","post.treatment","Tirosh",6927,442541
"CY89NEG_G11_S83_comb","Mel89","Mal","treatment.naive","Tirosh",5693,146674
"CY88_5_G10_S754_comb","Mel88","Mal","post.treatment","Tirosh",5683,127302
"CY88_5_C03_S699_comb","Mel88","Mal","post.treatment","Tirosh",4694,196390
"cy78_CD45_neg_3_A10_S682_comb","Mel78","Mal","post.treatment","Tirosh",6695,295610
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D04_S40_comb","Mel79","Mal","treatment.naive","Tirosh",6042,130379
"cy79_p4_CD45_neg_PDL1_neg_F06_S1122_comb","Mel79","Mal","treatment.naive","Tirosh",4853,204983
"cy78_CD45_neg_1_E09_S537_comb","Mel78","Mal","post.treatment","Tirosh",7863,260247
"CY88_3_E11_S635_comb","Mel88","Mal","post.treatment","Tirosh",7450,467686
"Cy80_II_CD45_C04_S892_comb","Mel80","Mal","treatment.naive","Tirosh",6839,254802
"cy79_p4_CD45_neg_PDL1_neg_D02_S1094_comb","Mel79","Mal","treatment.naive","Tirosh",5644,109205
"Cy81_Bulk_CD45_C11_S131_comb","Mel81","Mal","treatment.naive","Tirosh",6434,1112412
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C02_S26_comb","Mel79","Mal","treatment.naive","Tirosh",6332,107849
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D01_S133_comb","Mel79","Mal","treatment.naive","Tirosh",4388,33980
"Cy71_CD45_B01_S493_comb","Mel71","Mal","treatment.naive","Tirosh",3943,130159
"CY89COREQ1_A09_S297_comb","Mel89","Mal","treatment.naive","Tirosh",8032,620814
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A09_S297_comb","Mel79","Mal","treatment.naive","Tirosh",4973,78730
"Cy71_CD45_E09_S537_comb","Mel71","Mal","treatment.naive","Tirosh",6022,107093
"cy82_CD45_pos_3_C01_S25_comb","Mel82","?","treatment.naive","Tirosh",3945,131985
"cy81_FNA_CD45_neg_C06_S990_comb","Mel81","Mal","treatment.naive","Tirosh",7725,217709
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H03_S183_comb","Mel79","Mal","treatment.naive","Tirosh",5533,83033
"cy81_FNA_CD45_neg_H03_S1047_comb","Mel81","Mal","treatment.naive","Tirosh",2377,6227
"Cy81_FNA_CD45_C07_S319_comb","Mel81","Mal","treatment.naive","Tirosh",7296,228027
"cy78_CD45_neg_1_C04_S508_comb","Mel78","Mal","post.treatment","Tirosh",5768,105846
"Cy80_II_CD45_B10_S886_comb","Mel80","Mal","treatment.naive","Tirosh",5574,155841
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E08_S344_comb","Mel79","CAF","treatment.naive","Tirosh",4940,91281
"cy78_CD45_neg_3_A04_S676_comb","Mel78","Mal","post.treatment","Tirosh",7334,281997
"Cy71_CD45_G12_S564_comb","Mel71","Mal","treatment.naive","Tirosh",3871,83996
"cy78_CD45_neg_3_G12_S756_comb","Mel78","Mal","post.treatment","Tirosh",6766,488213
"CY75_1FNA_G06_S558_comb_4","Mel75","T.CD8","post.treatment","Tirosh",4184,84914
"CY88_5_F10_S742_comb","Mel88","Mal","post.treatment","Tirosh",4708,113128
"cy84_Primary_CD45_neg_D05_S1001_comb","Mel84","Mal","treatment.naive","Tirosh",6597,227763
"cy79_p5_CD45_neg_PDL1_neg_G01_S841_comb","Mel79","Mal","treatment.naive","Tirosh",2823,185875
